password,entropy,crack_time_seconds,strength_score
vL^T!yuSEwCTdMmV,96.71030590973525,1.2962923816305017e+21,3
3+vrKi&,43.7354925941051,146451.9457177598,1
KCbZnJ,34.20263830884655,197.70609663999988,0
Tg@e^vqRT4Fj,74.97513016132302,371332624731954.1,2
)h6%yupsFFbLWT,87.4709851882102,2.1448172404517663e+18,3
h0#qv(w-S02O,74.97513016132302,371332624731954.1,2
@Bb!Z+m#0,56.23134762099227,845906438.4657804,1
OcdnCokxFO3wfP,83.35874834541625,1.2401769434657461e+17,3
@hr-U-s9,49.98342010754868,11130347.874549743,1
C9PCrgQTQJw,65.49615941425563,520365606838.3717,2
EAqzTc(pPm4nkg,87.4709851882102,2.1448172404517663e+18,3
krW1+d#hZH_n-,81.22305767476661,2.8221279479628508e+16,3
xe-kvJ$IsqxFUsJc,96.71030590973525,1.2962923816305017e+21,3
M7D)zas(Ak,62.47927513443585,64288889323.39929,2
yxpo(CX^tV,60.443941193584536,15683368809.107971,2
(-hC#bD,42.310758835509176,54551.60701056009,1
#T!L&wjLz,54.39954707422608,237626800.13799885,1
6=4ov1zM9Iz,68.72720264787944,4885955588578.345,2
l5)oYKpe9#qmDI,87.4709851882102,2.1448172404517663e+18,3
8Si_rQ!3Rp7,68.72720264787944,4885955588578.345,2
0-GCMDD8W,50.79470570797252,19531249.999999948,1
8YERcq^l,49.98342010754868,11130347.874549743,1
d$cZnhY7jJt9MKv,93.71891270165378,1.630061102743342e+20,3
%K4B$(svMUD@sVs,93.71891270165378,1.630061102743342e+20,3
sdYu8jY!&Ae-0,81.22305767476661,2.8221279479628508e+16,3
8^^GY+,33.86313713864835,156.24999999999997,0
Nhh*k1,37.48756508066151,1926.999285759998,0
u@dWKz@#*bw3LOa,93.71891270165378,1.630061102743342e+20,3
^sysJaKBGaEh=,78.5771235516599,4508905799143302.0,2
2T@H63_WbVSl,74.97513016132302,371332624731954.1,2
%b2h@JE5CTN,68.72720264787944,4885955588578.345,2
Z$R-5X7ZLKrKe6,87.4709851882102,2.1448172404517663e+18,3
S8k(%WABeZZH,74.97513016132302,371332624731954.1,2
z18US0l%p,56.23134762099227,845906438.4657804,1
MRC3pLyi0xZ,65.49615941425563,520365606838.3717,2
cPRcX0zXGzVR(es,93.71891270165378,1.630061102743342e+20,3
RNHM0rN2,47.633570483095,2183401.0558489566,1
J9fVYj!6PV2,68.72720264787944,4885955588578.345,2
=m&yu20&(,50.79470570797252,19531249.999999948,1
@O9Or(*v!Qa6IEel,99.96684021509736,1.2388464380849397e+22,3
%y*f(E(Fi31Xl,81.22305767476661,2.8221279479628508e+16,3
Y=6#KD8NU-PW^Sa,93.71891270165378,1.630061102743342e+20,3
na3rYcWyHV@Bxt,87.4709851882102,2.1448172404517663e+18,3
9FyIP@&xa0^Lj,81.22305767476661,2.8221279479628508e+16,3
fsaPMFK_S+,60.443941193584536,15683368809.107971,2
yYvzyhvIczf,62.70483689955201,75168655093.50928,2
_r^pb=,31.931568569324178,40.9600000000001,0
1^bUzPDJoc8sVJ,87.4709851882102,2.1448172404517663e+18,3
uEZ+TxK3P4@YPLw,93.71891270165378,1.630061102743342e+20,3
M1tnLZI,41.67937417270812,35216.146062079904,1
PNIVFw66,47.633570483095,2183401.0558489566,1
(V7L252u2@ehlj4h,99.96684021509736,1.2388464380849397e+22,3
LIyOI6HTa,53.587766793481876,135370865.46263543,1
a460%mnj,45.150849518197795,390624.9999999993,1
ICuzoFE75_q,68.72720264787944,4885955588578.345,2
y=4#J3rsFXOCe9S,93.71891270165378,1.630061102743342e+20,3
&8gY%p@=0(ni,74.97513016132302,371332624731954.1,2
tFuZ@L,36.26636471615072,826.5395001599987,0
WJQTu)TNl7,62.47927513443585,64288889323.39929,2
ZZlrUs&,42.310758835509176,54551.60701056009,1
A^uNIpYw,48.35515295486763,3600406.062696959,1
ye4oDPHl,47.633570483095,2183401.0558489566,1
eG#4jj,37.48756508066151,1926.999285759998,0
PDWIx&3-),56.23134762099227,845906438.4657804,1
SB_!Msl6uc9tu*uG,99.96684021509736,1.2388464380849397e+22,3
bVp=h4jR!O,62.47927513443585,64288889323.39929,2
!pUfLi%!GOH,66.488335312943,1035102341401.1293,2
2_0d+9cr3#V@W=+,93.71891270165378,1.630061102743342e+20,3
eltC0Dd,41.67937417270812,35216.146062079904,1
J)CYM+L8,45.150849518197795,390624.9999999993,1
j*v(kSUiyV0oZ4,87.4709851882102,2.1448172404517663e+18,3
o-vMCJ8^(J+y,74.97513016132302,371332624731954.1,2
i3=BWI#QL@Z6v+,87.4709851882102,2.1448172404517663e+18,3
73@r6cuF!DcY0,81.22305767476661,2.8221279479628508e+16,3
U*zr9(mWP)$WELg,93.71891270165378,1.630061102743342e+20,3
CLeIoHov_8H,68.72720264787944,4885955588578.345,2
UsOcel(*81wKsv,87.4709851882102,2.1448172404517663e+18,3
)fJY$ZDv^A59-@L,93.71891270165378,1.630061102743342e+20,3
s!dCwAT25,56.23134762099227,845906438.4657804,1
r3O#2ghh,49.98342010754868,11130347.874549743,1
$xlK!7O,43.7354925941051,146451.9457177598,1
qjK^0)5m,49.98342010754868,11130347.874549743,1
2atsNxQ3Q0,59.54196310386875,8392993658.683406,1
ZyOJ-9y#zi=A)m2g,99.96684021509736,1.2388464380849397e+22,3
&C2imI^,43.7354925941051,146451.9457177598,1
eAgm@tlBQlp,66.488335312943,1035102341401.1293,2
^nGVe),36.26636471615072,826.5395001599987,0
v(Xg_3%Pl0XAxt,87.4709851882102,2.1448172404517663e+18,3
qF%Wvrfl3YcuSTY,93.71891270165378,1.630061102743342e+20,3
C37f%*_HA7#E,74.97513016132302,371332624731954.1,2
uzgxle2qTd!dF,81.22305767476661,2.8221279479628508e+16,3
(7^ME-p,43.7354925941051,146451.9457177598,1
+pzsw_AR(4fLA,81.22305767476661,2.8221279479628508e+16,3
=y1gLS!Yyc&bq4A,93.71891270165378,1.630061102743342e+20,3
WZ(sHURj,48.35515295486763,3600406.062696959,1
Rox1)3HD,49.98342010754868,11130347.874549743,1
wf*J%etOK=+,66.488335312943,1035102341401.1293,2
1OixHaC+A&2TK,81.22305767476661,2.8221279479628508e+16,3
)FQqYc*T,48.35515295486763,3600406.062696959,1
8CP_W7bort,62.47927513443585,64288889323.39929,2
Xfe^0kIEWkG!#Maq,99.96684021509736,1.2388464380849397e+22,3
uX9IQ-_j=KoU,74.97513016132302,371332624731954.1,2
XrDl_^,36.26636471615072,826.5395001599987,0
$KY+L2s+,49.98342010754868,11130347.874549743,1
QN(E7urJ6oNNpya,93.71891270165378,1.630061102743342e+20,3
^c=Ze3,37.48756508066151,1926.999285759998,0
#fYYzigKgE,60.443941193584536,15683368809.107971,2
#AW_T(53$P,56.43856189774724,976562499.9999964,1
(MvImzVS,48.35515295486763,3600406.062696959,1
*aeiDv1J2Hpy!I_,93.71891270165378,1.630061102743342e+20,3
&HG-W6Vs,49.98342010754868,11130347.874549743,1
=yN%F#jOhb#Q,72.53272943230144,68316754532474.07,2
1g1QyU,35.725177862321246,568.0023558399979,0
Vm=Ot^bVYQieTsq,90.6659117903768,1.9640793661068153e+19,3
)&tG!bOV9=,62.47927513443585,64288889323.39929,2
h+qI5ArK,49.98342010754868,11130347.874549743,1
2Ukmxx4vG,53.587766793481876,135370865.46263543,1
57$jR_5p,49.98342010754868,11130347.874549743,1
*&MXnv)TE(,60.443941193584536,15683368809.107971,2
Nn+flU8YM,56.23134762099227,845906438.4657804,1
eY_kvRkfo,54.39954707422608,237626800.13799885,1
r1YiKI,35.725177862321246,568.0023558399979,0
znnDzz,34.20263830884655,197.70609663999988,0
#fM8jgxc,49.98342010754868,11130347.874549743,1
RiKu2bMT_TZ#J-,87.4709851882102,2.1448172404517663e+18,3
o-M%)QU7DYB=2,81.22305767476661,2.8221279479628508e+16,3
Xcz*&00Je0FT,74.97513016132302,371332624731954.1,2
THiMTckD@,54.39954707422608,237626800.13799885,1
)Csryk1qDfp,68.72720264787944,4885955588578.345,2
VjT-g*czVYA2E_,87.4709851882102,2.1448172404517663e+18,3
S7$7uYyndcqec*x*,99.96684021509736,1.2388464380849397e+22,3
QOT4*jdG9^k,68.72720264787944,4885955588578.345,2
L^^PzD5oySy,68.72720264787944,4885955588578.345,2
I8uWx+UtICz8N%,87.4709851882102,2.1448172404517663e+18,3
TQ(1E@+te6z^M,81.22305767476661,2.8221279479628508e+16,3
3&^Rmh,37.48756508066151,1926.999285759998,0
LpNEU5,35.725177862321246,568.0023558399979,0
QW=d5B4z*D%^90h,93.71891270165378,1.630061102743342e+20,3
%Pz%s$A_g$UeAC,84.62151767101835,2.975877827434588e+17,3
4Io@1Iyv^,56.23134762099227,845906438.4657804,1
ij3+WB&D%%%tVH*R,99.96684021509736,1.2388464380849397e+22,3
)#W-6EZ6Ey65yp5,93.71891270165378,1.630061102743342e+20,3
O94j=BFhlKj(5F,87.4709851882102,2.1448172404517663e+18,3
usQ1tQ%fldlCqV(,93.71891270165378,1.630061102743342e+20,3
lYF_9n&NHfAOGa$7,99.96684021509736,1.2388464380849397e+22,3
^WCnEA,36.26636471615072,826.5395001599987,0
zVHY2cfnXlhxi,77.40455203502937,2000285392686685.2,2
@M-eMrbS-+1zQI1F,99.96684021509736,1.2388464380849397e+22,3
%SmA%O+Zf%,60.443941193584536,15683368809.107971,2
tn_iN2Vy+vsq,74.97513016132302,371332624731954.1,2
&EB8Th7R&,56.23134762099227,845906438.4657804,1
&SL*hNE1ACL,68.72720264787944,4885955588578.345,2
!TB%EuYo,48.35515295486763,3600406.062696959,1
gy$yOV=T,48.35515295486763,3600406.062696959,1
OJ_Ls7K8I,56.23134762099227,845906438.4657804,1
%i8E-jxX@cHb=7,87.4709851882102,2.1448172404517663e+18,3
sU9Pxr*SV7+IT_hR,99.96684021509736,1.2388464380849397e+22,3
o^I%O9kndx2,68.72720264787944,4885955588578.345,2
jTb(tB&XIm8#u,81.22305767476661,2.8221279479628508e+16,3
#Fc5el^0*-8,68.72720264787944,4885955588578.345,2
fjXo(1i,43.7354925941051,146451.9457177598,1
BNn4QamAnC)V,74.97513016132302,371332624731954.1,2
_eHUYwj,42.310758835509176,54551.60701056009,1
X6Am)@TyQsP,68.72720264787944,4885955588578.345,2
q)I2&PnhBXhbb-i,93.71891270165378,1.630061102743342e+20,3
IGL^%%g,42.310758835509176,54551.60701056009,1
YK32Q0O_!W,56.43856189774724,976562499.9999964,1
y++yhe#eZF,60.443941193584536,15683368809.107971,2
yS81Kla,41.67937417270812,35216.146062079904,1
DxRXTstV$7*,68.72720264787944,4885955588578.345,2
E@9#^iz5ANz2M,81.22305767476661,2.8221279479628508e+16,3
_*-KIZh6674h&FN,93.71891270165378,1.630061102743342e+20,3
vlW)liV4,49.98342010754868,11130347.874549743,1
p+GGa6&51j,62.47927513443585,64288889323.39929,2
MCDx!d+aZ(J-s),84.62151767101835,2.975877827434588e+17,3
BlIx6V4Uja0RQGET,95.26714096619,4.767240170682337e+20,3
_s9-w3=Fh,56.23134762099227,845906438.4657804,1
jOH+wW,36.26636471615072,826.5395001599987,0
oL4JN0rI,47.633570483095,2183401.0558489566,1
vvnuP9TD0,53.587766793481876,135370865.46263543,1
QKeB)p412IW@qwix,99.96684021509736,1.2388464380849397e+22,3
$CiGMjQ,42.310758835509176,54551.60701056009,1
D-1=5J5W^2,56.43856189774724,976562499.9999964,1
OK^vHYk%D),60.443941193584536,15683368809.107971,2
JSens^pZOJ,60.443941193584536,15683368809.107971,2
Z&6hXGa)R4=,68.72720264787944,4885955588578.345,2
T(9nq!_5%u4C96,87.4709851882102,2.1448172404517663e+18,3
4GK3SGJg#J5=A,81.22305767476661,2.8221279479628508e+16,3
gkKqT(*5CSu,68.72720264787944,4885955588578.345,2
TNL$qu,36.26636471615072,826.5395001599987,0
+iv9-SN,43.7354925941051,146451.9457177598,1
mmxZkfd#nq(n,72.53272943230144,68316754532474.07,2
yjcJl$SpPBtYV31Q,99.96684021509736,1.2388464380849397e+22,3
Zql+RLC6ZkeK,74.97513016132302,371332624731954.1,2
QaLOcMiK!(IM!M+,90.6659117903768,1.9640793661068153e+19,3
*+B-Uc4hlx5R=0GU,99.96684021509736,1.2388464380849397e+22,3
0)B$!c$#LhTaJep,93.71891270165378,1.630061102743342e+20,3
_XEV70uInftZLK,87.4709851882102,2.1448172404517663e+18,3
W31(4iN,43.7354925941051,146451.9457177598,1
z*sYZtaa#r,60.443941193584536,15683368809.107971,2
fHbO*hVj,48.35515295486763,3600406.062696959,1
$nw%sLLY,48.35515295486763,3600406.062696959,1
LoxpBa*,42.310758835509176,54551.60701056009,1
#WUK1lz%SZ-YGWQ8,99.96684021509736,1.2388464380849397e+22,3
nCt@Zq%Gzey,66.488335312943,1035102341401.1293,2
aASh2TOB(%2rq0,87.4709851882102,2.1448172404517663e+18,3
PLsv*NBE4)XRT,81.22305767476661,2.8221279479628508e+16,3
E(0i@FIMkSt,68.72720264787944,4885955588578.345,2
GagXjDBDW%U$tb,84.62151767101835,2.975877827434588e+17,3
Xr&tcl,36.26636471615072,826.5395001599987,0
umMN3g_UC),62.47927513443585,64288889323.39929,2
71iiy*#LD,56.23134762099227,845906438.4657804,1
hXk*9IoL#TahAHS=,99.96684021509736,1.2388464380849397e+22,3
srYNV0qY=YnIK,81.22305767476661,2.8221279479628508e+16,3
h_8qk4Xm,49.98342010754868,11130347.874549743,1
+oF+N1CckmI,68.72720264787944,4885955588578.345,2
(NRGy#kjA,54.39954707422608,237626800.13799885,1
!OKY$Y,31.931568569324178,40.9600000000001,0
kL0fp!^O-yXl7-I,93.71891270165378,1.630061102743342e+20,3
h%%j8#Q+i4Cmv,81.22305767476661,2.8221279479628508e+16,3
XTgAgiu!E2,62.47927513443585,64288889323.39929,2
OlgKge+tT68U,74.97513016132302,371332624731954.1,2
3+qu8U1o=vR,68.72720264787944,4885955588578.345,2
%fs90CZ%L#_n0S,87.4709851882102,2.1448172404517663e+18,3
jWT1S9IXLGNC&h,87.4709851882102,2.1448172404517663e+18,3
cbQGj+=g,48.35515295486763,3600406.062696959,1
p=P6uS(lxxBy)3x,93.71891270165378,1.630061102743342e+20,3
9WQaHfb7,47.633570483095,2183401.0558489566,1
-RfK0g9tO+Z&(6,87.4709851882102,2.1448172404517663e+18,3
+J#Ldl0)es,62.47927513443585,64288889323.39929,2
G+&nY2dej4c,68.72720264787944,4885955588578.345,2
Y8yfq(TA0G,62.47927513443585,64288889323.39929,2
q4BlX),37.48756508066151,1926.999285759998,0
(ROmJQ3komROtfPs,99.96684021509736,1.2388464380849397e+22,3
K_JM6!o-zwSeu=y,93.71891270165378,1.630061102743342e+20,3
u$&UX=Qo,48.35515295486763,3600406.062696959,1
d52cdi)^juz(,67.7262742772967,2441406249999.9995,2
MK(t2b5T*e,62.47927513443585,64288889323.39929,2
EwEZwB^gLkp0ohhK,99.96684021509736,1.2388464380849397e+22,3
8fTJYM0l8As9Fv%,93.71891270165378,1.630061102743342e+20,3
I^E^pj%ObDPDu0,87.4709851882102,2.1448172404517663e+18,3
8W&0rkOY,49.98342010754868,11130347.874549743,1
7t0ATvU6T#WjmN4,93.71891270165378,1.630061102743342e+20,3
%$ONL@m,42.310758835509176,54551.60701056009,1
Q0w-WL)8U+@QlZv,93.71891270165378,1.630061102743342e+20,3
d%ifGLjuFelr*l,84.62151767101835,2.975877827434588e+17,3
Ugjf7qL#K,56.23134762099227,845906438.4657804,1
czWV^9i)3a,62.47927513443585,64288889323.39929,2
u8xsiT5cdSy,65.49615941425563,520365606838.3717,2
ts6rWRLN,47.633570483095,2183401.0558489566,1
ZqmWlQ(,42.310758835509176,54551.60701056009,1
8G=r1UJdv,56.23134762099227,845906438.4657804,1
tvjaaDdB$OmyMK,84.62151767101835,2.975877827434588e+17,3
R_6C!2S!@L4zl,81.22305767476661,2.8221279479628508e+16,3
%h!M0369yAj3,74.97513016132302,371332624731954.1,2
wf9fsslQe,53.587766793481876,135370865.46263543,1
jet&hZ@L4p+crou,93.71891270165378,1.630061102743342e+20,3
5rPwRe,35.725177862321246,568.0023558399979,0
_#^%tdsIi6V*PEzx,99.96684021509736,1.2388464380849397e+22,3
Rx_9SUJ,43.7354925941051,146451.9457177598,1
8QHzVkDW,47.633570483095,2183401.0558489566,1
01KZ#gYfs9d8eO!,93.71891270165378,1.630061102743342e+20,3
5HDVAp,35.725177862321246,568.0023558399979,0
c2zVUEagGD@,68.72720264787944,4885955588578.345,2
